Date,Sent Amount,Sent Currency,Received Amount,Received Currency,Fee Amount,Fee Currency,Net Worth Amount,Net Worth Currency,Label,Description,TxHash
2021-10-26 22:08:50,,,36.505626,OSMO,,,,,staking,,ACF10130CC1F11D9E321BDB7E022CD7726AA2796E4FE08239B3E21310E524C75-0
2021-10-26 17:00:00,,,1.000873,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-10-26.OSMO
2021-10-25 17:00:00,,,1.00766,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-10-25.OSMO
2021-10-24 17:00:00,,,1.00743,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-10-24.OSMO
2021-10-23 17:00:00,,,0.96582,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-10-23.OSMO
2021-10-22 17:00:00,,,0.968297,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-10-22.OSMO
2021-10-21 17:00:00,,,1.124963,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-10-21.OSMO
2021-10-20 17:00:00,,,1.125639,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-10-20.OSMO
2021-10-19 17:00:00,,,1.11354,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-10-19.OSMO
2021-10-18 17:00:00,,,1.11099,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-10-18.OSMO
2021-10-17 17:00:00,,,1.117048,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-10-17.OSMO
2021-10-16 17:00:00,,,1.17187,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-10-16.OSMO
2021-10-15 17:00:00,,,1.107028,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-10-15.OSMO
2021-10-15 16:58:09,,,33.068619,OSMO,,,,,staking,,775B33E38A99DFCAF8832180742E4F58C1099A4535EFB0F9845C1398B94C54D8-0
2021-10-14 17:00:00,,,1.172259,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-10-14.OSMO
